q_true,b_true,mu_true,n,rep,method,q_hat,b_hat,success,at_bound,at_start,occupied_bins,objective,nfev,seconds,message
1.4,2.0,0.0,2000,10,cdf,1.3932635876240484,2.0669052967381027,True,False,False,34,1.9059792542683636e-05,15,0.01340609500039136,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,2000,11,pdf,1.4261357201162406,2.1680181205043407,True,False,False,35,0.6055148287184162,36,0.0028979609996895306,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,2000,11,mle,1.4042152321947905,2.079428583606749,True,False,False,35,2171.271726425857,36,0.002606430998639553,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.4,2.0,0.0,2000,11,qlog,1.5913947283517436,2.581643977996574,True,False,False,35,0.825682396853624,30,0.004863620999458362,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,2000,11,cdf,1.4421696717958534,2.2173160023406857,True,False,False,35,0.0001837591111531261,36,0.050586377999934484,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,2000,12,pdf,1.4021535261847975,2.181642805925869,True,False,False,30,1.0183557384119046,42,0.011823165999885532,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,2000,12,mle,1.4146896743807733,2.2044743700328286,True,False,False,30,2137.5680825973304,33,0.003812226001173258,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,2000,12,qlog,1.6195971065112793,2.767194742933614,True,False,False,30,1.0687921361321926,33,0.006831237998994766,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,2000,12,cdf,1.3775223635300973,2.073918471815655,True,False,False,30,6.493128437344332e-05,15,0.013983000000735046,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,2000,13,pdf,1.3869212891677414,2.007593630213442,True,False,False,32,0.540822662493194,39,0.0030878590005158912,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,2000,13,mle,1.4066658256011155,2.065243347439815,True,False,False,32,2183.8658050314802,36,0.0032219010008702753,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.4,2.0,0.0,2000,13,qlog,1.5872359640101028,2.4961533561761984,True,False,False,32,0.9131408523397777,33,0.00410121000095387,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,2000,13,cdf,1.3780679534213092,1.9705460196664215,True,False,False,32,2.7148487934292656e-05,36,0.04748608000045351,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,2000,14,pdf,1.3674278366550598,2.1458904432347725,True,False,False,32,0.8281834640636285,45,0.0037280609994922997,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,2000,14,mle,1.4164531991867062,2.2863120993756585,True,False,False,32,2105.3053338977966,33,0.002197832998717786,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.4,2.0,0.0,2000,14,qlog,1.622855737582525,2.722078916272885,True,False,False,32,1.7341035801007727,30,0.00460394199944858,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,2000,14,cdf,1.3277756745204439,1.9682831267610537,True,False,False,32,9.428086304550931e-05,36,0.03640242099936586,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,2000,15,pdf,1.327871466685912,1.7510200424302431,True,False,False,31,1.0403356578152008,42,0.0036890690007567173,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,2000,15,mle,1.3760742670522514,1.8714700515906948,True,False,False,31,2211.8280656029506,39,0.0036807480009883875,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.4,2.0,0.0,2000,15,qlog,1.623666732959302,2.4005115706446873,True,False,False,31,1.7084316466404832,33,0.02213224600018293,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,2000,15,cdf,1.3715871751859103,1.8541786997488439,True,False,False,31,5.7014235854338785e-05,36,0.12024081699928502,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
