q_true,b_true,n,rep,seed,bins,method,q_hat,b_hat,success,at_bound,occupied_bins,max_abs_x,seconds,message
1.5,2.0,1000,5,20260926-0-0-0-5,100,pdf,1.5180029033908968,2.1931639954625615,True,False,94,10.36233775214628,0.08976876500014441,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,5,20260926-0-0-0-5,100,qlog,1.52,1.626319937943512,True,False,94,10.36233775214628,0.02924981499995738,barrido q-log; q por deviance de bins
1.5,2.0,1000,5,20260926-0-0-0-5,150,pdf,1.5180126570827492,2.194364008664146,True,False,136,10.36233775214628,0.06915568900012659,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,5,20260926-0-0-0-5,150,qlog,1.52,1.5019475110524836,True,False,136,10.36233775214628,0.03256052200003978,barrido q-log; q por deviance de bins
1.5,2.0,1000,5,20260926-0-0-0-5,200,pdf,1.5163164042501944,2.186824416264791,True,False,178,10.36233775214628,0.0701458690000436,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,5,20260926-0-0-0-5,200,qlog,1.52,1.3385289558761477,True,False,178,10.36233775214628,0.03289092399995752,barrido q-log; q por deviance de bins
1.5,2.0,1000,6,20260926-0-0-0-6,20,pdf,1.6158430095038545,2.3652286436301884,True,False,20,5.296632394146103,0.047631048999846826,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,6,20260926-0-0-0-6,20,qlog,1.6400000000000001,2.13518634116321,True,False,20,5.296632394146103,0.03024589599999672,barrido q-log; q por deviance de bins
1.5,2.0,1000,6,20260926-0-0-0-6,30,pdf,1.6000866809807486,2.3157773752238278,True,False,30,5.296632394146103,0.05378758300003028,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,6,20260926-0-0-0-6,30,qlog,1.6,2.0595070054872786,True,False,30,5.296632394146103,0.026767274000121688,barrido q-log; q por deviance de bins
1.5,2.0,1000,6,20260926-0-0-0-6,40,pdf,1.6098221459042792,2.3593325101691103,True,False,40,5.296632394146103,0.03323196500014092,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,6,20260926-0-0-0-6,40,qlog,1.6,2.062831675887157,True,False,40,5.296632394146103,0.044109486000024845,barrido q-log; q por deviance de bins
1.5,2.0,1000,6,20260926-0-0-0-6,50,pdf,1.6060454197047422,2.35189758554976,True,False,50,5.296632394146103,0.04022463799992693,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,6,20260926-0-0-0-6,50,qlog,1.6,2.0233925544161386,True,False,50,5.296632394146103,0.03250552700001208,barrido q-log; q por deviance de bins
1.5,2.0,1000,6,20260926-0-0-0-6,70,pdf,1.6082048953327648,2.3577897878843754,True,False,69,5.296632394146103,0.06282477900003869,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,6,20260926-0-0-0-6,70,qlog,1.6,1.9192283763200457,True,False,69,5.296632394146103,0.03129928899988954,barrido q-log; q por deviance de bins
1.5,2.0,1000,6,20260926-0-0-0-6,100,pdf,1.6134216294922366,2.3762121315333977,True,False,98,5.296632394146103,0.0524781950000488,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,6,20260926-0-0-0-6,100,qlog,1.58,1.6655109476215846,True,False,98,5.296632394146103,0.029586298000140232,barrido q-log; q por deviance de bins
1.5,2.0,1000,6,20260926-0-0-0-6,150,pdf,1.6074181116218251,2.352041536663368,True,False,142,5.296632394146103,0.06312894399979996,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,6,20260926-0-0-0-6,150,qlog,1.56,1.4388594011925542,True,False,142,5.296632394146103,0.038364607000175965,barrido q-log; q por deviance de bins
1.5,2.0,1000,6,20260926-0-0-0-6,200,pdf,1.6117250029968788,2.369198091515474,True,False,183,5.296632394146103,0.07858180599987463,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,6,20260926-0-0-0-6,200,qlog,1.52,1.0939915656165622,True,False,183,5.296632394146103,0.03635053199991489,barrido q-log; q por deviance de bins
1.5,2.0,1000,7,20260926-0-0-0-7,20,pdf,1.5038249412731834,1.8852238112669344,True,False,20,6.849859608193773,0.04005939200010289,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,7,20260926-0-0-0-7,20,qlog,1.54,1.646142322360413,True,False,20,6.849859608193773,0.026178284000025087,barrido q-log; q por deviance de bins
1.5,2.0,1000,7,20260926-0-0-0-7,30,pdf,1.4875833074958928,1.8229261396771634,True,False,30,6.849859608193773,0.03284964899989973,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,7,20260926-0-0-0-7,30,qlog,1.5,1.5915465971115144,True,False,30,6.849859608193773,0.0437227410000105,barrido q-log; q por deviance de bins
1.5,2.0,1000,7,20260926-0-0-0-7,40,pdf,1.467682311393278,1.772441482461056,True,False,39,6.849859608193773,0.03974068200000147,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,7,20260926-0-0-0-7,40,qlog,1.46,1.5402156762331012,True,False,39,6.849859608193773,0.028406303999872762,barrido q-log; q por deviance de bins
1.5,2.0,1000,7,20260926-0-0-0-7,50,pdf,1.4618227615749446,1.7509725249662276,True,False,49,6.849859608193773,0.044085816999995586,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,7,20260926-0-0-0-7,50,qlog,1.46,1.5474795669864603,True,False,49,6.849859608193773,0.026928706000035163,barrido q-log; q por deviance de bins
1.5,2.0,1000,7,20260926-0-0-0-7,70,pdf,1.481371488154767,1.8148640419566602,True,False,69,6.849859608193773,0.049036358999956065,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,7,20260926-0-0-0-7,70,qlog,1.48,1.5154862923681165,True,False,69,6.849859608193773,0.033823365999978705,barrido q-log; q por deviance de bins
1.5,2.0,1000,7,20260926-0-0-0-7,100,pdf,1.4738047170609667,1.7806687452795578,True,False,96,6.849859608193773,0.05888105999997606,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,7,20260926-0-0-0-7,100,qlog,1.46,1.3426312595250005,True,False,96,6.849859608193773,0.029177172999879986,barrido q-log; q por deviance de bins
1.5,2.0,1000,7,20260926-0-0-0-7,150,pdf,1.4806101005905938,1.8079281722116978,True,False,139,6.849859608193773,0.04071267099993747,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,7,20260926-0-0-0-7,150,qlog,1.48,1.200214041211947,True,False,139,6.849859608193773,0.047593082000048526,barrido q-log; q por deviance de bins
1.5,2.0,1000,7,20260926-0-0-0-7,200,pdf,1.4754942262246853,1.7887346306349545,True,False,180,6.849859608193773,0.09112798299997849,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,7,20260926-0-0-0-7,200,qlog,1.46,1.1216359139735155,True,False,180,6.849859608193773,0.037084507999907146,barrido q-log; q por deviance de bins
1.5,2.0,1000,8,20260926-0-0-0-8,20,pdf,1.4898526100919423,1.6756041720972439,True,False,20,7.311236767381027,0.053378767000140215,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,8,20260926-0-0-0-8,20,qlog,1.52,1.471559510034064,True,False,20,7.311236767381027,0.02912162300003729,barrido q-log; q por deviance de bins
1.5,2.0,1000,8,20260926-0-0-0-8,30,pdf,1.5331154431847718,1.8026605246538638,True,False,30,7.311236767381027,0.0399479169998358,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,8,20260926-0-0-0-8,30,qlog,1.54,1.6208549198415674,True,False,30,7.311236767381027,0.04294810900000812,barrido q-log; q por deviance de bins
